black_pop,asian_pop,white_pop,hisp_pop,amin_pop,hp_pop,other_pop
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,23,14,,,
12,1,24,14,,,
12,2,23,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,2,22,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
12,1,23,15,,,
11,1,24,15,,,
11,1,23,16,,,
11,1,24,15,,,
11,1,24,15,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
11,1,24,15,,,
12,1,24,14,,,
11,2,23,15,,,
11,2,23,15,,,
11,2,23,15,,,
11,2,23,15,,,
11,2,23,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
12,1,25,13,,,
11,1,25,14,,,
11,1,25,14,,,
12,1,25,13,,,
12,1,25,13,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
12,1,25,13,,,
12,1,25,13,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
12,1,25,13,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,24,15,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,25,14,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
11,1,24,15,,,
12,1,24,14,,,
11,1,25,14,,,
11,1,25,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
11,1,24,15,,,
12,1,24,14,,,
11,1,24,15,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,23,14,,,
13,1,23,14,,,
13,1,23,14,,,
13,1,23,14,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
11,1,25,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
13,1,25,12,,,
12,1,25,13,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
13,1,25,12,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,25,12,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,24,13,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
12,1,25,13,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
13,1,25,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
13,1,25,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,24,14,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,26,12,,,
13,1,26,11,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,24,14,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,25,13,,,
12,1,26,12,,,
12,1,26,12,,,
12,1,25,13,,,
